episode,total_reward
1,-2330.7653941382728
1,-2632.03418538877
1,-2621.802184598432
1,-2618.5996900064683
1,-2625.95746007352
1,-2624.154080424781
1,-2604.4531281469976
1,-2628.275811963468
1,-2626.7313788999318
1,-2608.2496645269916
1,-2621.0076552175697
1,-2627.931180217412
1,-2573.1045744931066
1,-1221.160815869322
1,-1364.6960706191337
1,-1441.0688228095362
1,-1317.8223736258058
1,-2268.0981116581706
1,-2580.7260589855246
1,-2630.716182366499
1,-2608.4936073490207
1,-1560.596904756106
1,-1304.7592727359993
1,-1341.0607094158418
1,-1337.445737335619
1,-1366.6804022158747
1,-1281.3814236986304
1,-1307.3845910371922
1,-1502.987075614858
1,-8569.859669228437
1,-1134.302206842338
1,-1318.503567117272
1,-1308.1141840512494
1,-1377.2172946912963
1,-1353.3763527111478
1,-1282.5957004115987
1,-1337.4846014969287
1,-775.8676245812767
1,-2631.4467584963077
1,-2634.4965467765683
1,-2632.8220005718767
1,-2604.4741079418136
1,-2591.8189124340815
1,-2592.2918987033627
1,-2550.0454867896624
1,-1443.5821886025099
1,-1495.4994219271973
1,-1417.5073816977488
1,-1357.6218026787396
1,-1323.9673982733207
1,-1376.5701621826915
1,-1392.4480455662651
1,-1247.5985055307308
1,-1353.2784114789
1,-1416.1459148511512
1,-1390.737387471311
1,-1290.3214338941107
1,-1322.437849479329
1,-1239.3903997987509
1,-1343.5168890879825
1,-1288.9243955599993
1,-1347.2420524458425
1,-1335.4763619674457
1,-1298.7343710194134
1,-1358.7871250064852
1,-1379.6807796121766
1,-1356.9108644717726
1,-1382.8053327102052
1,-1327.2696967705306
1,-1329.4849918878363
1,-1516.8353192774507
1,-1361.9070927286639
1,-1425.136980447923
1,-1485.8307356840078
1,-1347.6752119548655
1,-1385.7443798785534
1,-1373.0485688522588
1,-1394.0766950039463
1,-1275.3189254336485
1,-1416.6184303614393
1,-1446.971066776378
1,-1364.7961143327605
1,-1472.2477964886461
1,-1409.0105804581626
1,-1245.1792283041698
1,-1402.9904928883918
1,-1483.153912214744
1,-1356.377928001601
1,-1305.764901208865
1,-1481.4564341232751
1,-1373.4373815696752
1,-1314.7038286490842
1,-1540.0628792421578
1,-1336.7297024662844
1,-1333.5131693447981
1,-1369.3861389230597
1,-1385.0388964135136
1,-1385.769621032266
1,-1348.3934415443484
1,-1281.6847937022078
1,-1315.6610869759893
1,-1352.3370539520347
1,-1346.5626820901853
1,-1328.08690416419
1,-1334.8446749020695
1,-1347.0550537405568
1,-1254.526886627547
1,-1332.9835133606662
1,-1343.7251528770541
1,-1379.4090450856393
1,-1322.351649468184
1,-1440.7747130173193
1,-1364.900889131227
1,-1360.2914816450025
1,-1365.968826537968
1,-1321.609918512259
1,-1321.6041068494847
1,-1342.2386492202495
1,-1341.6288111538834
1,-1370.342651629188
1,-1420.527631795921
1,-1345.6535908437866
1,-1051.750112063445
1,-1331.1236762687972
1,-1325.1459146814825
1,-1182.6765018084855
1,-1405.1866126691637
1,-1340.110652230884
1,-1365.4262450347453
1,-1455.928525890551
1,-1377.6778267998698
1,-1316.185484251439
1,-1402.5107880046096
1,-1375.0480977347834
1,-1343.5044305096446
1,-1351.8190546530634
1,-1359.9624623558948
1,-1370.8188482056737
1,-1297.5094261819434
1,-1333.7709699438853
1,-1305.5287396589486
1,-1345.3023466585273
1,-1364.374887107759
1,-1380.8385726257068
1,-1279.0632072252176
1,-1270.3238745875178
1,-1368.1767301912696
1,-1269.042613531339
1,-1342.9421909874693
1,-1389.1648587440816
1,-1331.3619086602178
1,-1377.9803844370012
1,-1408.8556294943469
1,-1357.605120894784
1,-1201.6989621840357
1,-1337.5541091556775
1,-1451.0388610457453
1,-1373.3307916456467
1,-1373.531193691891
1,-1424.4117045877638
1,-1427.7448676804383
1,-1410.5710326099431
1,-1308.317372639417
1,-1365.707771233105
1,-1305.1848640055314
1,-1376.9252154770152
1,-1316.5474325956143
1,-1367.0442275919368
1,-1372.506704858164
1,-1292.189906372992
1,-1258.5201801595588
1,-1306.126665356057
1,-1369.0645617372315
1,-1339.9665578669567
1,-1317.194913979541
1,-1327.8293598474684
1,-1312.0103365577595
1,-1437.8039354325374
1,-1344.8663470904633
1,-1292.836499239501
1,-1315.1719652103034
1,-1304.24253129494
1,-1272.970385712992
1,-1314.8438058101626
1,-1427.7815214182167
1,-1399.034244309454
1,-1422.2789491893952
1,-1355.4368497644343
1,-1289.4744467942214
1,-1360.0836642840643
1,-1427.7349923752083
1,-1278.0071679736925
1,-1354.2481701566198
1,-2212.7969257143404
1,-2618.696916759476
1,-2627.032733586261
1,-2626.133842533337
1,-2607.701863068741
1,-2630.129711822548
1,-2631.8289569394774
1,-2634.285953029661
1,-2635.177266458077
1,-2633.8924127221185
1,-2597.4820628203624
1,-2633.535478437521
1,-2617.173108515632
1,-2636.0352261198827
1,-2622.9170613469837
1,-2628.659635122811
1,-2587.2195195657814
1,-2616.870190129429
1,-2645.7470435184214
1,-2630.740013439668
1,-2612.3611991706134
1,-2037.5902644151024
1,-1255.871104772965
1,-1310.1244241042966
1,-1349.335574609532
1,-1387.3367031230202
1,-1370.4728309935442
1,-1152.7329508717085
1,-1130.1289276931968
1,-863.1000267746343
1,-1166.070890085609
1,-741.4772492500922
1,-1027.3453569627247
1,-1111.6197019508443
1,-999.9873997643463
1,-1167.4097887113403
1,-1218.577061296582
1,-1145.5831472134382
1,-1145.5243898885044
1,-1133.1463928728042
1,-1255.365664231557
1,-1270.2673815033513
1,-1064.4362152051629
1,-1137.0952888526203
1,-1272.8370020712282
1,-1266.8341458973057
1,-1121.3410785344356
1,-1120.2925698517424
1,-1270.775690121753
1,-1129.4045856496869
1,-1284.4128930984768
1,-1218.8339199569948
1,-1184.879680198213
1,-1170.4561727998357
1,-1120.4243810498463
1,-1148.8020152461572
1,-1170.1674558996972
1,-1092.510516688388
1,-1172.1061045503247
1,-1149.8692512572416
1,-1082.994817989599
1,-1143.1246859754037
1,-1175.879284096756
1,-1168.8181550857055
1,-1257.9509938155152
1,-1147.1184468878573
1,-1274.4886390674103
1,-1175.7083938461992
1,-1241.6431215650894
1,-1241.200762476792
1,-1176.7348078902535
1,-1133.9662863105445
1,-1161.931817063857
1,-1246.0857158576016
1,-1130.785243187744
1,-1144.7764224058647
1,-1400.485048826483
1,-1161.4904027927294
1,-1245.163415228758
1,-1237.9801477576
1,-1068.2960113214401
1,-1262.036954772273
1,-1333.0547834464196
1,-1337.0291973721223
1,-1360.2877093970708
1,-1160.3526573898382
1,-965.2002587912269
1,-719.7162199250431
1,-947.6593883457373
1,-935.904780206273
1,-940.9623480513386
1,-996.5835272701131
1,-914.2662619081573
1,-1082.2065422752303
1,-1197.6500946988494
1,-1174.110312274575
1,-1224.8694911227676
1,-1092.5652926944501
1,-1263.7420634472012
1,-1065.5658206629914
1,-1205.2534399141057
1,-1140.1270027039413
1,-1044.4982448293047
1,-1273.4927290928026
1,-1129.9740322504929
1,-1173.533048968415
1,-1128.0338694110253
1,-1143.815576674587
1,-1237.223036068933
1,-1168.4595832859063
1,-1219.4558267725417
