episode,total_reward
1,-143.44299502220144
1,-35.11792324431816
1,-94.16949234439366
1,-62.36704943638066
1,-61.15732631556122
1,-49.82336851746596
1,-37.66344595494312
1,-11.368230995759822
1,-121.47915377429575
1,-194.80051548159005
1,-212.5373378290662
1,-206.0124099608498
1,-247.49135055914482
1,-222.38631358422225
1,-195.3690841611892
1,-220.77914939745136
1,-210.82169454548514
1,-198.00365307831237
1,-217.43412447343317
1,-108.08498809905399
1,-96.05727694837984
1,-139.81844069857576
1,-178.99530516608152
1,-203.55670010388044
1,-131.45555211857962
1,-203.21368587659228
1,-154.79804992936803
1,-161.01998400635082
1,-150.3472898302877
1,-402.0733793054756
1,-160.09730046818012
1,-364.47369776721763
1,-129.06926230432228
1,-126.99705264594817
1,-373.7252700543173
1,-157.5178548935484
1,-170.53886447187978
1,-131.3586687164243
1,-122.74423371457381
1,-122.9065666447983
1,-63.15906377370894
1,-76.48465798832466
1,-47.53337726306801
1,-19.508993955610958
1,-9.199190959295954
1,-8.344090517967157
1,-10.440322816636952
1,-63.826323625129085
1,-114.25256787110055
1,-104.48505849774875
1,-106.2561926368266
1,-108.34090786426212
1,-118.22322272821995
1,-89.53260003212766
1,-113.49558892822148
1,-104.82199985710761
1,-130.67745127609695
1,-104.79268654407659
1,-150.34098668209788
1,-108.66740463108125
1,-108.33113251407497
1,-193.1907543186002
1,-235.8514022563162
1,-130.50778845352772
1,-159.19418528421696
1,-126.75446789070618
1,-134.70159427989498
1,-125.80735540045218
1,-103.43871953008396
1,-95.76725555700162
1,-109.72505998372064
1,-105.48150921086007
1,-137.2115334086375
1,-130.4821728540183
1,-125.7298781945979
1,-115.2173495463476
1,-79.58128496406668
1,-151.14665768655632
1,-97.2422365568264
1,-116.84701011837052
1,-75.63249308463674
1,-102.68903941389264
1,-90.25814339972126
1,-141.5214734134032
1,-134.05960491161565
1,-156.8245800701337
1,-130.65291311994753
1,-142.95641667518896
1,-145.47474776311037
1,-165.34847091758175
1,-224.3797946764559
1,-150.99389195372203
1,-110.14194567171911
1,-309.8873665929554
1,-128.59148772017733
1,-136.84508095437843
1,-152.56529270827986
1,-187.08052396529033
1,-119.38623377034281
1,-225.92794390352327
1,-85.51761012789363
1,-148.2969758013406
1,-151.71417030784673
1,-109.12456024709894
1,-91.52429244155756
1,-81.2915151457406
1,-154.24643795829317
1,-133.2457423133469
1,-130.16641912222752
1,-95.68299881987419
1,-178.69658037841646
1,-82.81582453499041
1,-105.96788985850716
1,-134.61600402246455
1,-140.98985329331668
1,-65.58231153743479
1,-121.19663035808847
1,-161.35177722197548
1,-168.78730807005294
1,-126.00332454087567
1,-136.57739599322977
1,-105.00997247568061
1,-164.94930730402433
1,-108.88572341936211
1,-147.6492938694495
1,-100.86763427060691
1,-107.727520915058
1,-99.59648668513613
1,-87.43145463287905
1,-86.57429803986446
1,-81.766914955162
1,-41.04031920948065
1,-25.968477443460255
1,-11.027968031351342
1,-11.019743085942187
1,-10.082463275552492
1,-10.868420454290636
1,-11.573928025630455
1,-12.303239261593921
1,-15.919705564991427
1,-39.22012653070517
1,-72.17213569532241
1,-168.55256443779626
1,-96.75555518991327
1,-129.29225620759732
1,-145.2768182269086
1,-125.9485042544907
1,-245.10043906727185
1,-114.49756083458556
1,-100.65919219213808
1,-218.15797740436037
1,-137.14824024268438
1,-319.9735197106082
1,-216.95040075596825
1,-114.87705852848741
1,-131.482365061193
1,-141.54312723454132
1,-112.69859684419943
1,-135.1760452851579
1,-128.6389163550211
1,-122.88775579408414
1,-118.86733294261693
1,-209.43187205132654
1,-137.884636911065
1,-120.99389373687673
1,-282.825034375839
1,-117.87593897233128
1,-165.2811135482183
1,-116.30518023970127
1,-110.9804026650424
1,-126.17358711876875
1,-110.66283907064928
1,-182.82847394832268
1,-181.23817538909074
1,-118.04106251025279
1,-232.10289762917503
1,-106.46325692496026
1,-120.65802779903586
1,-108.30700830195973
1,-94.11939870085007
1,-98.63970945047231
1,-96.82769746929193
1,-123.7065516282161
1,-169.72223168447402
1,-128.1989712964271
1,-134.31384657287867
1,-40.421869409096786
1,-24.241731430259435
1,-24.0812954128807
1,-29.03603614342641
1,-44.152581376265516
1,-40.86112462916422
1,-25.619609598855718
1,-46.06728727417741
1,-65.02167429886212
1,-96.6016515448694
1,-85.48382324345764
1,-93.50688979478494
1,-72.76370532786667
1,-56.873397934693294
1,-63.128729364999465
1,-87.83855070303886
1,-77.51124823837137
1,-195.19051581504175
1,-93.71397993996857
1,-87.46148869168286
1,-122.927317006508
1,-96.39909273718531
1,-97.6449603731136
1,-98.45693237154617
1,-120.28885769291068
1,-355.1545775998504
1,-189.60337549438316
1,-89.58190567941828
1,-93.91658062193963
1,-83.03409934933964
1,-111.29207545463339
1,-94.09964486726263
1,-71.08592382842748
1,-83.4879903112527
1,-44.66663041940077
1,-51.45615889731291
1,-86.13957410865551
1,-89.19080282580232
1,-73.65753387654968
1,-119.6021032732383
1,-111.47433177759336
1,-121.68946807256336
1,-84.36650570649495
1,-64.83030016869247
1,-81.22093078436701
1,-114.47741715318894
1,-112.32662372164185
1,-100.58170007256386
1,-152.30040869464327
1,-105.69108387427438
1,-124.28477206503514
1,-142.25756620109027
1,-86.90387664884578
1,-92.25006370374392
1,-158.25605117715622
1,-97.61060495292821
1,-113.94694431703911
1,-114.79056360065826
1,-144.75219672519992
1,-112.30233680239722
1,-341.1690872377271
1,-137.09283286281806
1,-145.3286277573666
1,-158.94491435591922
1,-130.0999029987661
1,-111.56002190859908
1,-89.62620146407504
1,-70.71817798484769
1,-85.27452253887934
1,-86.96860144824606
1,-70.12450929341688
1,-49.45695980792021
1,-29.011407583698876
1,-19.06091518681772
1,-13.888591865566132
1,-10.337837651408
1,-8.923432523915828
1,-10.17008736321719
1,-9.406356248020607
1,-11.242617680767752
1,-9.395766864717656
1,-9.795752905146351
1,-9.162621842349878
1,-10.877647680392768
1,-10.843991547558442
1,-9.417064406591132
1,-10.902824375213338
1,-11.343665975589621
1,-10.801952938619703
1,-9.722174008551638
1,-10.443896372508487
1,-11.22693944453011
1,-11.319147341199766
1,-11.829167055176299
1,-12.472861024208314
