episode,total_reward
1,-1069.7163779586554
2,-1504.3154637888074
3,-1505.7658184692264
4,-1505.3551684245467
5,-1505.7487072646618
6,-1506.6305303126574
7,-1495.0208594202995
8,-1506.11100615561
9,-1505.3576341569424
10,-1506.7412925511599
11,-1499.0038981959224
12,-657.1068024933338
13,-617.1802853047848
14,-1487.4058116823435
15,-1505.4286945089698
16,-1505.4440102651715
17,-1506.8189354091883
18,-1505.780502229929
19,-1505.327567525208
20,-1504.012897104025
21,-1496.1864382326603
22,-1505.1152656450868
23,-1505.5928588658571
24,-1506.415665782988
25,-1506.643670141697
26,-1505.2851251363754
27,-1505.412625387311
28,-1506.0319368243217
29,-1079.8583421111107
30,-575.3416215777397
31,-572.2182403206825
32,-586.879092246294
33,-575.0712561011314
34,-634.6909272968769
35,-574.4765931367874
36,-589.4797251820564
37,-577.4367755651474
38,-579.8513815104961
39,-625.496997654438
40,-569.5033633708954
41,-596.5170786380768
42,-581.1608844995499
43,-580.4005479812622
44,-578.8656019568443
45,-574.676077157259
46,-575.7163423001766
47,-575.7812767624855
48,-580.0154780745506
49,-574.990375161171
50,-600.4482854604721
51,-604.6080974340439
52,-577.901587754488
53,-582.4916167259216
54,-590.3802022337914
55,-574.7916148602962
56,-576.3812025785446
57,-566.8357564806938
58,-586.7417485713959
59,-561.632384121418
60,-587.2826221585274
61,-608.1260984838009
62,-589.7867640852928
63,-585.6504149734974
64,-576.3026052415371
65,-590.3972767293453
66,-582.6608772277832
67,-601.4118452966213
68,-596.6457047760487
69,-583.0638945102692
70,-580.6741522550583
71,-586.1681581139565
72,-576.023435741663
73,-579.7882321178913
74,-580.3084972798824
75,-577.9901608228683
76,-572.1023499965668
77,-566.8223710656166
78,-594.289721518755
79,-597.3371228575706
80,-575.9203435778618
81,-579.5179150402546
82,-586.5435051321983
83,-606.7735371291637
84,-580.5441797971725
85,-601.8288255035877
86,-596.9792709648609
87,-583.1835727989674
88,-587.1218011379242
89,-580.1675808429718
90,-581.8495971262455
91,-555.601993739605
92,-564.8463153243065
93,-584.804694712162
94,-600.84326171875
95,-575.1069340109825
96,-581.6380966603756
97,-580.3475831151009
98,-582.8083762824535
99,-563.7420429587364
100,-593.0643543601036
101,-579.2225435376167
102,-575.9239285588264
